item,quantidade,estoque_ideal
AGUA,396,540
AGUA C/ GAS,216,288
AGUA TONICA,66,48
AMSTEL,192,504
BRAHMA CHOP,132,180
BRAHMA DUPLO MALTE,144,324
BUDWEISER,204,324
COCA COLA ZERO,144,288
COCA COLA,276,540
CORONA,194,180
Corona Long,60,96
FANTA LARANJA,72,132
GUARANA ANTARTICA,186,180
GUARANÁ ANTARTICA ZERO,24,96
GUARAVITON,48,96
H2O,48,48
H2O LIMONETO,85,96
HEINEKEN,562,720
Heineken long,72,96
HEINEKEN 0,108,180
ITAIPAVA,120,120
ORIGINAL,144,252
RED BULL,30,18
RED BULL TROPICAL,20,18
SKOL,180,300
SODA,54,96
SAPATEN,108,96
SUCO DE PESSEGO,0,18
51,23,18
ABSOLUT,3,8
ANGOSTURA,1,2
CAMPARI,2,4
CURAÇAU BLUE ALCOOL,2,2
CURAÇAU BLUE,5,4
GROSELHA,11,18
MATUTA,6,4
RUM,8,6
SAGATIBA,17,6
SELETA,2,2
SMIRNOFF,37,60
SAO FRANCISCO,5,6
SEAGERS,7,4
Saque,9,14
TANQUERAY,4,6
TEQUILA,2,2
TRIPLE SEC,4,6
VELHO BARREIRO,48,74
VERMUTE,5,6
VINHO,14,14
VINHO BRANCO,9,4
WHISKY BOURBON,4,4
WHISKY SCOOTH,3,4
CANUDO FINO,26,8
CANUDO GROSSO,12,14
COLHERES,28,6
COPO 150,7,8
COPO 200,15,8
COPO 330,22,8
COPO 440,14,8
COPO 770,6,8
GUARDANAPO,63,14
PAPEL SUFILME,5,4
SAL,86,4
AÇAI,3,8
AÇUCAR,11,14
ADOÇANTE,3,4
bucha,6,10
CAFÉ,0,2
COCO RALADO,3,4
DETERGENTE,2,4
ESSÊNCIA DE BAUNILHA,10,4
LEITE CONDENSADO,0,120
LEITE DE COCO,5,6
LEITE EM PÓ,0,4
MEL,6,4
PAÇOCA,1,2
PANO,0,6
SACO DE LIXO 100L,27,30
TANG ,144,64
